"开售时间","截止时间","产品","总箱数","售卖天数","平均日单量"
"2016-02-17","2016-05-01","红橙","131","74","2"
"2016-03-31","2016-05-11","伦晚","532","41","13"
"2016-05-13","2016-07-08","贵妃芒","705","56","13"
"2016-05-17","2016-07-05","蓝莓","715","49","15"
"2016-05-27","2016-09-29","金果","1176","125","9"
"2016-05-31","2016-06-20","大樱桃","274","20","14"
"2016-06-07","2016-09-30","火龙果","2998","115","26"
"2016-06-08","2016-07-03","荔枝","500","25","20"
"2016-06-13","2016-06-26","杨梅","212","13","16"
"2016-06-20","2016-08-03","西瓜","1445","44","33"
"2016-07-05","2016-09-15","大桃","959","72","13"
"2016-07-05","2016-09-08","蟠桃","556","65","9"
"2016-07-07","2016-08-09","车厘子","135","33","4"
"2016-07-07","2016-09-29","牛油果","1091","84","13"
"2016-07-11","2016-08-07","桂七","366","27","14"
"2016-07-19","2016-08-25","油桃","492","37","13"
"2016-07-26","2016-09-29","西柚","644","65","10"
"2016-07-28","2016-08-23","黄金桃","95","26","4"
"2016-07-28","2016-08-16","黄桃","58","19","3"
"2016-07-29","2016-09-10","甜瓜","736","43","17"
"2016-08-01","2016-09-30","坚果","2038","60","34"
"2016-08-01","2016-09-29","巢蜜","188","59","3"
"2016-08-05","2016-09-29","小番茄","756","55","14"
"2016-08-08","2016-09-30","冬枣","1635","53","31"
"2016-08-10","2016-09-30","百香果","1275","51","25"
"2016-08-12","2016-09-29","板栗","477","48","10"
"2016-08-15","2016-09-30","苹果","926","46","20"
"2016-08-17","2016-09-30","木瓜","448","44","10"
"2016-08-19","2016-09-08","绿果","90","20","5"
"2016-08-22","2016-09-30","红糖","255","39","7"
"2016-08-24","2016-08-29","澳橙","264","5","53"
"2016-08-25","2016-09-13","榴莲月饼","411","19","22"
"2016-08-26","2016-09-29","猕猴桃","472","34","14"
"2016-08-30","2016-09-22","凯特芒","546","23","24"
"2016-08-31","2016-09-18","西梅","2324","18","129"
"2016-09-02","2016-09-28","软籽石榴","1244","26","48"
"2016-09-05","2016-09-30","莱阳蜜梨","2606","25","104"
"2016-09-07","2016-09-30","大闸蟹","404","23","18"
"2016-09-09","2016-09-29","翠香","972","20","49"
"2016-09-14","2016-09-30","蜜薯","1236","16","77"
"2016-09-16","2016-09-29","榴莲千层","251","13","19"
"2016-09-19","2016-09-30","鸡蛋","1016","11","92"
"2016-09-23","2016-09-30","户太葡萄","215","7","31"
"2016-09-26","2016-09-30","肉燕","312","4","78"
"2016-09-27","2016-09-30","柚子","249","3","83"