月份,2016年1月,2016年2月,2016年3月,2016年4月,2016年5月,2016年6月,2016年7月,2016年8月,2016年9月,2016年10月,2016年11月,2016年12月,2017年1月,2017年2月,2017年3月,2017年4月,2017年5月,2017年6月,2017年7月,2017年8月,2017年9月,2017年10月
2016年1月,"3
2.0","2
2.0
(66.00%)","2
11.0
(66.00%)","1
10.0
(33.00%)","1
6.0
(33.00%)","1
4.0
(33.00%)","0

(0.00%)","2
1.0
(66.00%)","1
5.0
(33.00%)","1
2.0
(33.00%)","1
1.0
(33.00%)","2
2.0
(66.00%)","2
1.0
(66.00%)","0

(0.00%)","2
2.5
(66.00%)","1
2.0
(33.00%)","2
1.5
(66.00%)","2
5.5
(66.00%)","2
4.0
(66.00%)","2
3.0
(66.00%)","2
5.5
(66.00%)","1
5.0
(33.00%)"
2016年2月,,"6
5.5","2
4.0
(33.00%)","5
65.8
(83.00%)","5
26.8
(83.00%)","5
69.0
(83.00%)","5
89.6
(83.00%)","5
154.0
(83.00%)","5
249.2
(83.00%)","4
215.75
(66.00%)","4
442.75
(66.00%)","5
408.8
(83.00%)","5
251.0
(83.00%)","4
317.5
(66.00%)","3
835.0
(50.00%)","3
748.33
(50.00%)","3
911.67
(50.00%)","3
914.33
(50.00%)","3
576.33
(50.00%)","3
704.33
(50.00%)","3
646.33
(50.00%)","5
341.8
(83.00%)"
2016年3月,,,"2
4.5","2
51.5
(100.00%)","1
65.0
(50.00%)","2
22.0
(100.00%)","2
12.0
(100.00%)","2
46.5
(100.00%)","2
48.0
(100.00%)","2
28.5
(100.00%)","2
27.0
(100.00%)","2
41.0
(100.00%)","2
30.0
(100.00%)","2
31.0
(100.00%)","2
70.0
(100.00%)","2
54.0
(100.00%)","2
28.0
(100.00%)","2
29.5
(100.00%)","2
14.5
(100.00%)","2
23.5
(100.00%)","2
81.5
(100.00%)","2
41.0
(100.00%)"
2016年4月,,,,"7
39.57","4
20.25
(57.00%)","3
45.0
(42.00%)","3
24.33
(42.00%)","4
36.75
(57.00%)","4
26.5
(57.00%)","4
28.75
(57.00%)","4
31.25
(57.00%)","2
67.5
(28.00%)","2
38.5
(28.00%)","3
43.67
(42.00%)","5
44.2
(71.00%)","4
45.5
(57.00%)","5
46.6
(71.00%)","4
81.5
(57.00%)","4
45.5
(57.00%)","3
74.33
(42.00%)","3
86.33
(42.00%)","4
42.5
(57.00%)"
2016年5月,,,,,"9
26.56","9
63.22
(100.00%)","9
63.44
(100.00%)","9
74.44
(100.00%)","9
155.78
(100.00%)","8
103.63
(88.00%)","7
231.14
(77.00%)","6
272.83
(66.00%)","5
171.6
(55.00%)","6
105.33
(66.00%)","6
272.67
(66.00%)","7
207.29
(77.00%)","6
259.5
(66.00%)","6
242.5
(66.00%)","6
150.33
(66.00%)","6
224.17
(66.00%)","7
219.14
(77.00%)","7
158.57
(77.00%)"
2016年6月,,,,,,"18
33.0","15
47.27
(83.00%)","14
69.64
(77.00%)","14
90.71
(77.00%)","14
79.71
(77.00%)","14
178.57
(77.00%)","14
171.14
(77.00%)","13
102.85
(72.00%)","14
81.07
(77.00%)","16
134.75
(88.00%)","17
113.59
(94.00%)","17
113.82
(94.00%)","16
100.63
(88.00%)","18
71.17
(100.00%)","16
94.31
(88.00%)","17
98.18
(94.00%)","14
126.14
(77.00%)"
2016年7月,,,,,,,"31
24.71","28
68.75
(90.00%)","27
84.33
(87.00%)","26
78.27
(83.00%)","27
113.93
(87.00%)","27
118.44
(87.00%)","24
81.96
(77.00%)","25
70.44
(80.00%)","25
175.68
(80.00%)","26
148.58
(83.00%)","25
189.88
(80.00%)","26
151.73
(83.00%)","26
109.35
(83.00%)","27
127.63
(87.00%)","27
136.67
(87.00%)","27
97.7
(87.00%)"
2016年8月,,,,,,,,"35
29.86","33
78.94
(94.00%)","29
91.38
(82.00%)","29
154.52
(82.00%)","29
252.31
(82.00%)","28
151.14
(80.00%)","28
121.54
(80.00%)","29
248.24
(82.00%)","31
201.87
(88.00%)","31
237.45
(88.00%)","31
223.48
(88.00%)","31
161.03
(88.00%)","31
178.81
(88.00%)","31
212.29
(88.00%)","32
167.0
(91.00%)"
2016年9月,,,,,,,,,"42
21.86","37
50.95
(88.00%)","36
77.94
(85.00%)","35
102.37
(83.00%)","31
49.0
(73.00%)","34
34.35
(80.00%)","33
98.91
(78.00%)","37
97.49
(88.00%)","35
117.2
(83.00%)","37
116.32
(88.00%)","37
72.41
(88.00%)","37
79.92
(88.00%)","38
99.58
(90.00%)","36
74.11
(85.00%)"
2016年10月,,,,,,,,,,"51
27.53","45
92.4
(88.00%)","40
123.53
(78.00%)","37
60.24
(72.00%)","37
45.14
(72.00%)","42
105.57
(82.00%)","41
97.66
(80.00%)","42
100.93
(82.00%)","34
104.97
(66.00%)","37
69.86
(72.00%)","39
79.92
(76.00%)","44
76.75
(86.00%)","40
69.97
(78.00%)"
2016年11月,,,,,,,,,,,"80
40.31","75
94.63
(93.00%)","71
54.25
(88.00%)","69
38.03
(86.00%)","73
79.44
(91.00%)","73
65.77
(91.00%)","70
73.33
(87.00%)","68
71.9
(85.00%)","67
49.34
(83.00%)","69
52.22
(86.00%)","73
51.12
(91.00%)","70
42.04
(87.00%)"
2016年12月,,,,,,,,,,,,"137
32.85","128
40.09
(93.00%)","124
27.15
(90.00%)","123
69.98
(89.00%)","124
60.09
(90.00%)","116
72.72
(84.00%)","120
61.65
(87.00%)","115
44.27
(83.00%)","122
46.89
(89.00%)","114
50.75
(83.00%)","113
40.86
(82.00%)"
2017年1月,,,,,,,,,,,,,"89
22.39","78
21.14
(87.00%)","82
52.16
(92.00%)","79
40.0
(88.00%)","81
41.81
(91.00%)","76
36.51
(85.00%)","74
27.68
(83.00%)","72
28.24
(80.00%)","73
31.78
(82.00%)","70
23.13
(78.00%)"
2017年2月,,,,,,,,,,,,,,"99
15.1","95
81.32
(95.00%)","94
62.02
(94.00%)","89
74.97
(89.00%)","90
65.53
(90.00%)","87
52.05
(87.00%)","80
62.2
(80.00%)","85
70.15
(85.00%)","87
47.61
(87.00%)"
2017年3月,,,,,,,,,,,,,,,"590
34.53","567
56.06
(96.00%)","522
51.73
(88.00%)","481
48.74
(81.00%)","461
34.58
(78.00%)","453
39.24
(76.00%)","458
40.71
(77.00%)","438
31.88
(74.00%)"
2017年4月,,,,,,,,,,,,,,,,"928
23.63","881
33.15
(94.00%)","806
28.17
(86.00%)","715
21.56
(77.00%)","650
25.27
(70.00%)","627
27.86
(67.00%)","583
21.33
(62.00%)"
2017年5月,,,,,,,,,,,,,,,,,"1200
23.58","1114
31.52
(92.00%)","983
23.84
(81.00%)","881
26.61
(73.00%)","839
26.96
(69.00%)","758
21.28
(63.00%)"
2017年6月,,,,,,,,,,,,,,,,,,"1283
17.75","1203
20.28
(93.00%)","1057
19.52
(82.00%)","930
21.33
(72.00%)","808
16.42
(62.00%)"
2017年7月,,,,,,,,,,,,,,,,,,,"1095
11.08","992
15.39
(90.00%)","829
15.76
(75.00%)","638
12.24
(58.00%)"
2017年8月,,,,,,,,,,,,,,,,,,,,"1178
12.0","1096
15.99
(93.00%)","819
11.68
(69.00%)"
2017年9月,,,,,,,,,,,,,,,,,,,,,"1833
9.49","1084
13.3
(59.00%)"
2017年10月,,,,,,,,,,,,,,,,,,,,,,"1537
6.84"
