商品编码,商品名称,商品批次,库存数量,可支配数量,单位
10000314,有好东西西柚（6粒装）,20160815,54,54,个
10000318,有好东西牛油果（6粒装）,20160817,6,6,个
10000288,有好东西每日坚果,20160824,97,97,盒
10000320,有好东西玫瑰苹果 （12粒装）,20160819,4,4,个
10000320,有好东西玫瑰苹果 （12粒装）,2016-08-24,116,116,个
10000304,有好东西金奇异果整件(33#),20160816,203,203,个
10000304,有好东西金奇异果整件(33#),2016-08-19,126,126,个
10000303,有好东西金奇异果整件(25#),20160819,36,36,箱
10000286,有好东西姜母红糖,20160805,29,29,袋
10000291,有好东西火龙果8斤装,2016-08-24,22,22,箱
10000290,有好东西火龙果5斤装,20160813,33,33,箱
10000290,有好东西火龙果5斤装,2016-08-16,3,3,箱
10000290,有好东西火龙果5斤装,2016-08-21,2,2,箱
10000290,有好东西火龙果5斤装,2016-08-24,50,50,箱
10000305,有好东西黄色小番茄,2016-08-22,4,4,斤
10000306,有好东西红色小番茄,2016-08-22,4,4,斤
10000313,有好东西大荔冬枣3斤装,20160819,4,4,箱
10000287,有好东西巢蜜（2盒）,20160822,42,42,盒
10000319,有好东西板栗10袋装,20160820,858,858,袋
10000328,有好东西绿奇异果25#箱,2016-08-19,67,67,箱
10000328,有好东西绿奇异果25#箱,20160824,1,1,箱